CarParkID,latitude,longitude
A0007,1.3053280313,103.8295706951
A0011,1.2939260442,103.8488660619
A0017,1.3029418442,103.8570252731
A0021,1.2807904230,103.8471773424
A0024,1.3241651254,103.8138990563
A0035,1.3102963502,103.8368930165
A0046,1.3138928368,103.8817881934
A10,1.3686329816,103.8445240152
A100,1.3779874732,103.8426025448
A101,1.3830389166,103.8417395008
A11,1.3670355339,103.8381810969
A12,1.3685678875,103.8387593207
A13,1.3680002216,103.8368096119
A15,1.3669676104,103.8404174560
A2,1.3662370558,103.8430463972
A20,1.3649433806,103.8484570918
A21,1.3681275586,103.8463132242
A24,1.3647534119,103.8493976528
A25,1.3627693074,103.8516274893
A26,1.3727702022,103.8354475641
A27,1.3703630515,103.8383206515
A28,1.3716499283,103.8374642881
A29,1.3672262594,103.8487155966
A30,1.3709897467,103.8424189722
A31,1.3704511193,103.8436999445
A33,1.3700210113,103.8346919458
A34,1.3683564732,103.8516673741
A35,1.3686463926,103.8540814741
A36,1.3664071282,103.8552787873
A37,1.3681130685,103.8555565507
A38,1.3639637058,103.8545883827
A39,1.3611510217,103.8540721546
A4,1.3656916206,103.8411921650
A40,1.3623561505,103.8569820860
A41,1.3649369353,103.8569326000
A42,1.3665801817,103.8573638924
A43,1.3659967356,103.8592672720
A44,1.3672057433,103.8589905085
A45,1.3709176931,103.8552304960
A47,1.3705581670,103.8592466089
A48,1.3703712815,103.8546522609
A49,1.3713296059,103.8577970877
A50,1.3725224642,103.8576095680
A51,1.3694707393,103.8343753450
A52,1.3703854326,103.8469225471
A53,1.3708650227,103.8468773086
A54,1.3724343595,103.8459153546
A55,1.3731917742,103.8464748577
A59,1.3738962214,103.8581397841
A60,1.3744644954,103.8559134188
A61,1.3741704461,103.8521600155
A63,1.3752171305,103.8493990820
A64,1.3705348687,103.8534617975
A65,1.3710291590,103.8594172076
A66,1.3805449309,103.8356606230
A67,1.3796863244,103.8378048894
A68,1.3818976185,103.8398542148
A69,1.3816414579,103.8419454357
A7,1.3683924870,103.8413017544
A70,1.3806206411,103.8401072068
A71,1.3800090937,103.8407418967
A72,1.3807609626,103.8435303382
A73,1.3788481891,103.8408246967
A74,1.3786516803,103.8438046637
A75,1.3762021780,103.8386845577
A76,1.3779771119,103.8388348050
A77,1.3763531493,103.8399785703
A78,1.3746947111,103.8383867909
A8,1.3687560710,103.8433077115
A81,1.3743555525,103.8364787947
A82,1.3756749224,103.8363986527
A85,1.3651073780,103.8497093686
A87,1.3668263587,103.8578842374
A88,1.3662807157,103.8472665268
A9,1.3680743700,103.8443921978
A94,1.3718598269,103.8383159614
A98,1.3691643106,103.8318542096
ACB,1.3010632721,103.8541180499
ACM,1.3210042901,103.8850609476
AH1,1.3282834952,103.8446198891
AM14,1.3687410946,103.8403011027
AM16,1.3703498012,103.8357182852
AM18,1.3655400128,103.8446193902
AM19,1.3688861979,103.8345310238
AM20,1.3646977329,103.8460885861
AM22,1.3645882915,103.8476530264
AM32,1.3705325245,103.8343768155
AM43,1.3686107187,103.8573035467
AM46,1.3721783233,103.8533963844
AM51,1.3699150017,103.8466985165
AM64,1.3714570203,103.8530982461
