CarParkID,latitude,longitude
ACB,1.3010633,103.8541180
ACM,1.3210043,103.8850609
AH1,1.3282835,103.8446199
AM14,1.3687411,103.8403011
AM16,1.3703498,103.8357183
AM18,1.3655400,103.8446194
AM19,1.3688862,103.8345310
AM20,1.3646977,103.8460886
AM22,1.3645883,103.8476530
AM32,1.3705325,103.8343768
AM43,1.3686107,103.8573035
AM46,1.3721783,103.8533964
AM51,1.3699150,103.8466985
AM64,1.3714570,103.8530982
AM79,1.3723282,103.8513279
AM80,1.3706470,103.8418615
AM81,1.3716392,103.8419478
AM96,1.3640741,103.8509404
AR1L,1.3038767,103.7826318
AR1M,1.3028487,103.7836668
AR2L,1.3059132,103.7811547
AR2M,1.3047389,103.7816745
AR5M,1.3073435,103.7844633
AR7L,1.3058077,103.7855911
AR7M,1.3047714,103.7851920
AR9,1.3072844,103.7834396
AV1,1.2855826,103.8032153
A10,1.3686330,103.8445240
A100,1.3779875,103.8426025
A101,1.3830389,103.8417395
A102,1.3683560,103.8337574
A11,1.3670355,103.8381811
A12,1.3685679,103.8387593
A13,1.3680002,103.8368096
A15,1.3669676,103.8404175
A2,1.3662371,103.8430464
A20,1.3649434,103.8484571
A21,1.3681276,103.8463132
A24,1.3647534,103.8493977
A25,1.3627693,103.8516275
A26,1.3727702,103.8354476
A27,1.3703631,103.8383207
A28,1.3716499,103.8374643
A29,1.3672263,103.8487156
A30,1.3709897,103.8424190
A31,1.3704511,103.8436999
A33,1.3700210,103.8346919
A34,1.3683565,103.8516674
A35,1.3686464,103.8540815
A36,1.3664071,103.8552788
A37,1.3681131,103.8555566
A38,1.3639637,103.8545884
A39,1.3611510,103.8540722
A4,1.3656916,103.8411922
A40,1.3623562,103.8569821
A41,1.3649369,103.8569326
A42,1.3665802,103.8573639
A43,1.3659967,103.8592673
A44,1.3672057,103.8589905
A45,1.3709177,103.8552305
A47,1.3705582,103.8592466
A48,1.3703713,103.8546523
A49,1.3713296,103.8577971
A50,1.3725225,103.8576096
A51,1.3694707,103.8343753
A52,1.3703854,103.8469225
A53,1.3708650,103.8468773
A54,1.3724344,103.8459154
A55,1.3731918,103.8464749
A59,1.3738962,103.8581398
A60,1.3744645,103.8559134
A61,1.3741704,103.8521600
A63,1.3752171,103.8493991
A64,1.3705349,103.8534618
A65,1.3710292,103.8594172
A66,1.3805449,103.8356606
A67,1.3796863,103.8378049
A68,1.3818976,103.8398542
A69,1.3816415,103.8419454
A7,1.3683925,103.8413018
CCKC,1.3850754,103.7457472
A70,1.3806206,103.8401072
A71,1.3800091,103.8407419
A72,1.3807610,103.8435303
A73,1.3788482,103.8408247
A74,1.3786517,103.8438047
A75,1.3762022,103.8386846
A76,1.3779771,103.8388348
A77,1.3763531,103.8399786
A78,1.3746947,103.8383868
A8,1.3687561,103.8433077
A81,1.3743556,103.8364788
A82,1.3756749,103.8363987
A85,1.3651074,103.8497094
A87,1.3668264,103.8578842
A88,1.3662807,103.8472665
A9,1.3680744,103.8443922
A94,1.3718598,103.8383160
A98,1.3691643,103.8318542
BA1,1.3336954,103.8708270
BA11,1.3366717,103.8745323
BA12,1.3402100,103.8763675
BA15,1.3380906,103.8750205
BA2,1.3369046,103.8732552
BA3,1.3362716,103.8713218
BA4,1.3352593,103.8729485
BA6,1.3402535,103.8721855
BA7,1.3418207,103.8721367
